Eval:::Epoch [71/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [72/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [73/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [74/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [75/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [76/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [77/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [78/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [79/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [80/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [81/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [82/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [83/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [84/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [85/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [86/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [87/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [88/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [89/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [90/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
