Test:::Loss: 0.2330, Dev Accuracy: 0.9329, Dev F1 Score: 0.9176
Eval:::Epoch [124/500], Loss: 0.1416, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [125/500], Loss: 0.1413, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [126/500], Loss: 0.1409, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [127/500], Loss: 0.1405, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [128/500], Loss: 0.1401, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [129/500], Loss: 0.1396, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [130/500], Loss: 0.1390, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [131/500], Loss: 0.1386, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [132/500], Loss: 0.1380, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [133/500], Loss: 0.1378, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [134/500], Loss: 0.1372, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [135/500], Loss: 0.1367, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [136/500], Loss: 0.1361, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [137/500], Loss: 0.1355, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [138/500], Loss: 0.1350, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [139/500], Loss: 0.1346, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [140/500], Loss: 0.1340, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [141/500], Loss: 0.1335, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [142/500], Loss: 0.1332, Dev Accuracy: 0.9213, Dev F1 Score: 0.9132
Eval:::Epoch [143/500], Loss: 0.1326, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [144/500], Loss: 0.1324, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [145/500], Loss: 0.1321, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [146/500], Loss: 0.1316, Dev Accuracy: 0.9213, Dev F1 Score: 0.9132
Eval:::Epoch [147/500], Loss: 0.1311, Dev Accuracy: 0.9213, Dev F1 Score: 0.9132
Eval:::Epoch [148/500], Loss: 0.1308, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [149/500], Loss: 0.1304, Dev Accuracy: 0.9213, Dev F1 Score: 0.9132
Eval:::Epoch [150/500], Loss: 0.1304, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [151/500], Loss: 0.1300, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [152/500], Loss: 0.1296, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [153/500], Loss: 0.1293, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [154/500], Loss: 0.1293, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
